well,block,test_temperature,strain,evolution_history,window_idx,days_start,days_end,mu,r_squared,window_size
b4,2,42,40_G11,40 evolved,28,0.28125,0.3229166666666667,4.376218014223311,0.999434850931212,5
b4,3,25,35_E11,35 evolved,37,0.375,0.4166666666666667,8.29513713936596,0.9999107142121353,5
b4,3,35,35_E11,35 evolved,23,0.22916666666666663,0.2708333333333333,13.579866697176206,0.9999846161862462,5
b4,3,38,35_E11,35 evolved,22,0.21875,0.2604166666666667,13.470248842146281,0.9999953290053585,5
b4,3,41,35_E11,35 evolved,23,0.22916666666666663,0.2708333333333333,5.737393430238545,0.9999309652722492,5
b4,3,42,35_E11,35 evolved,17,0.16666666666666666,0.20833333333333337,2.229834689335749,0.9940042384460024,5
b5,1,25,40_D2,40 evolved,39,0.3958333333333333,0.4375,8.190929475200626,0.9999206955187893,5
b5,1,35,40_D2,40 evolved,24,0.23958333333333337,0.28125,12.72201875709018,0.9998695160253971,5
b5,1,38,40_D2,40 evolved,22,0.21875,0.2604166666666667,12.522189144670918,0.9997827953482611,5
b5,1,41,40_D2,40 evolved,37,0.375,0.4166666666666667,5.882273087593139,0.9995446606056156,5
b5,1,42,40_D2,40 evolved,25,0.25,0.2916666666666667,2.8842775824719786,0.9943879971417017,5
b5,2,25,40_E11,40 evolved,37,0.375,0.4166666666666667,8.192010746539706,0.9999357639288907,5
b5,2,35,40_E11,40 evolved,24,0.23958333333333337,0.28125,13.028529437214095,0.9995907907449311,5
b5,2,38,40_E11,40 evolved,22,0.21875,0.2604166666666667,13.85742807031824,0.999874983630747,5
b5,2,41,40_E11,40 evolved,27,0.2708333333333333,0.3125,7.500015082783863,0.9998017996289249,5
b5,2,42,40_E11,40 evolved,21,0.20833333333333337,0.25,3.381622581347836,0.9990685402867779,5
b5,3,25,35_D2,35 evolved,36,0.3645833333333333,0.40625,8.654291398596055,0.9994625947760085,5
b5,3,35,35_D2,35 evolved,22,0.21875,0.2604166666666667,13.107221764483054,0.9999867783392875,5
b5,3,38,35_D2,35 evolved,22,0.21875,0.2604166666666667,13.738284893909976,0.9999113137639847,5
b5,3,41,35_D2,35 evolved,28,0.28125,0.3229166666666667,6.644084804403139,0.9999745518167943,5
b5,3,42,35_D2,35 evolved,22,0.21875,0.2604166666666667,2.152313165598795,0.9965067226640681,5
b6,1,25,WT_CASP_2,Caspofungin evolved,34,0.34375,0.3854166666666667,8.515191376894228,0.999925684169785,5
b6,1,35,WT_CASP_2,Caspofungin evolved,19,0.1875,0.22916666666666663,13.849990949551088,0.9999390315846555,5
b6,1,38,WT_CASP_2,Caspofungin evolved,21,0.20833333333333337,0.25,14.786604528579776,0.9998976999962563,5
b6,1,41,WT_CASP_2,Caspofungin evolved,38,0.3854166666666667,0.4270833333333333,17.349557578685772,0.9100529522133702,5
b6,1,42,WT_CASP_2,Caspofungin evolved,21,0.20833333333333337,0.25,4.007901871347675,0.9993899568360569,5
b6,3,25,WT_FLZ_1,Fluconazole evolved,34,0.34375,0.3854166666666667,8.343524321163713,0.9999465903194558,5
b6,3,35,WT_FLZ_1,Fluconazole evolved,21,0.20833333333333337,0.25,13.787723806863315,0.99994911608087,5
b6,3,38,WT_FLZ_1,Fluconazole evolved,22,0.21875,0.2604166666666667,13.670720315118722,0.9998599860667046,5
b6,3,41,WT_FLZ_1,Fluconazole evolved,20,0.19791666666666663,0.23958333333333337,5.263080305083493,0.9993783799419487,5
b6,3,42,WT_FLZ_1,Fluconazole evolved,21,0.20833333333333337,0.25,2.8993072389208283,0.9951402745854788,5
b7,3,25,fRS585,fRS585,35,0.3541666666666667,0.3958333333333333,8.527259749278409,0.9999180611624123,5
b7,3,35,fRS585,fRS585,22,0.21875,0.2604166666666667,13.077324399617819,0.999990234141284,5
b7,3,38,fRS585,fRS585,22,0.21875,0.2604166666666667,13.874831673706645,0.9998441465602677,5
b7,3,41,fRS585,fRS585,60,0.6145833333333334,0.65625,14.314292000397629,0.9384318633370863,5
b7,3,42,fRS585,fRS585,17,0.16666666666666666,0.20833333333333337,2.528301742090334,0.9997572361877182,5
b8,1,25,40_G9,40 evolved,33,0.3333333333333333,0.375,8.073164753590529,0.9998618765572603,5
b8,1,35,40_G9,40 evolved,17,0.16666666666666666,0.20833333333333337,13.400770853131446,0.9999904802285999,5
b8,1,38,40_G9,40 evolved,19,0.1875,0.22916666666666663,14.063662450839377,0.9999423285050821,5
b8,1,41,40_G9,40 evolved,38,0.3854166666666667,0.4270833333333333,17.661442325295635,0.8292611019390213,5
b8,1,42,40_G9,40 evolved,28,0.28125,0.3229166666666667,6.521535166089171,0.9989775901045121,5
b8,2,25,35_B2,35 evolved,39,0.3958333333333333,0.4375,8.098621605093046,0.9998529994593705,5
b8,2,35,35_B2,35 evolved,23,0.22916666666666663,0.2708333333333333,13.050136851317145,0.9999307697931089,5
b8,2,38,35_B2,35 evolved,22,0.21875,0.2604166666666667,13.638382046729213,0.9999837320373655,5
b8,2,41,35_B2,35 evolved,26,0.2604166666666667,0.3020833333333333,6.796270328087421,0.9993687667162046,5
b8,2,42,35_B2,35 evolved,19,0.1875,0.22916666666666663,2.6690027652025186,0.999729464517816,5
b8,3,25,35_E11,35 evolved,34,0.34375,0.3854166666666667,8.444379027895485,0.9998432510413227,5
b8,3,35,35_E11,35 evolved,22,0.21875,0.2604166666666667,13.133253864237158,0.9999755251445623,5
b8,3,38,35_E11,35 evolved,22,0.21875,0.2604166666666667,13.883609432456794,0.9998669349647448,5
b8,3,41,35_E11,35 evolved,34,0.34375,0.3854166666666667,8.967341685374475,0.9709364405373401,5
b8,3,42,35_E11,35 evolved,22,0.21875,0.2604166666666667,2.7454750412161184,0.9982508855558564,5
b9,2,25,fRS585,fRS585,38,0.3854166666666667,0.4270833333333333,8.146643605480214,0.99930165496667,5
b9,2,35,fRS585,fRS585,23,0.22916666666666663,0.2708333333333333,13.161394458464494,0.999879733942996,5
b9,2,38,fRS585,fRS585,22,0.21875,0.2604166666666667,13.906124829183595,0.9998597119490452,5
b9,2,41,fRS585,fRS585,24,0.23958333333333337,0.28125,7.529076555269365,0.9995606675706142,5
b9,2,42,fRS585,fRS585,24,0.23958333333333337,0.28125,3.1548541915866593,0.9974153374399495,5
b9,3,25,40_C5,40 evolved,38,0.3854166666666667,0.4270833333333333,8.074129721777327,0.9998313847986763,5
