time,well,OD,treatment,test_temperature
63624.5,B3,0.07180000096559525,blank,41
63624.5,B4,0.07000000029802322,blank,41
63624.5,B5,0.07109999656677246,blank,41
63624.5,B6,0.0714000016450882,blank,41
63624.5,B7,0.06849999725818634,blank,41
63624.5,B8,0.0689999982714653,blank,41
63624.5,B9,0.06889999657869339,blank,41
63624.5,B10,0.06610000133514404,blank,41
63624.5,B11,0.07069999724626541,blank,41
63624.5,B12,0.07050000131130219,blank,41
63624.5,C1,0.05249999836087227,water,41
63624.5,C2,0.05119999870657921,water,41
63624.5,C3,0.052299998700618744,water,41
63624.5,C4,0.051500000059604645,water,41
63624.5,C5,0.052799999713897705,water,41
63624.5,C6,0.052299998700618744,water,41
63624.5,C7,0.051100000739097595,water,41
63624.5,C8,0.05420000106096268,water,41
63624.5,C9,0.052299998700618744,water,41
63624.5,C10,0.05290000140666962,water,41
63624.5,C11,0.05009999871253967,water,41
63624.5,C12,0.051899999380111694,water,41
63624.5,D1,0.052400000393390656,water,41
63624.5,D2,0.05180000141263008,water,41
63624.5,D3,0.051500000059604645,water,41
63624.5,D4,0.05119999870657921,water,41
63624.5,D5,0.050700001418590546,water,41
63624.5,D6,0.051100000739097595,water,41
63624.5,D7,0.05130000039935112,water,41
63624.5,D8,0.05220000073313713,water,41
63624.5,D9,0.052799999713897705,water,41
63624.5,D10,0.05169999971985817,water,41
63624.5,D11,0.051100000739097595,water,41
63624.5,D12,0.050700001418590546,water,41
63624.5,E1,0.05260000005364418,water,41
63624.5,E2,0.052400000393390656,water,41
63624.5,E3,0.051600001752376556,water,41
63624.5,E4,0.051600001752376556,water,41
63624.5,E5,0.05130000039935112,water,41
63624.5,E6,0.050999999046325684,water,41
63624.5,E7,0.05180000141263008,water,41
63624.5,E8,0.050999999046325684,water,41
63624.5,E9,0.05090000107884407,water,41
63624.5,E10,0.050599999725818634,water,41
63624.5,E11,0.05119999870657921,water,41
63624.5,E12,0.050599999725818634,water,41
63624.5,F1,0.053199999034404755,water,41
63624.5,F2,0.051500000059604645,water,41
63624.5,F3,0.052000001072883606,water,41
63624.5,F4,0.05260000005364418,water,41
63624.5,F5,0.05169999971985817,water,41
63624.5,F6,0.05079999938607216,water,41
63624.5,F7,0.05090000107884407,water,41
63624.5,F8,0.052799999713897705,water,41
63624.5,F9,0.051100000739097595,water,41
63624.5,F10,0.05180000141263008,water,41
63624.5,F11,0.05180000141263008,water,41
63624.5,F12,0.051100000739097595,water,41
63624.5,G1,0.05290000140666962,water,41
63624.5,G2,0.05119999870657921,water,41
63624.5,G3,0.05180000141263008,water,41
63624.5,G4,0.05139999836683273,water,41
63624.5,G5,0.050999999046325684,water,41
63624.5,G6,0.05040000006556511,water,41
63624.5,G7,0.05090000107884407,water,41
63624.5,G8,0.051500000059604645,water,41
63624.5,G9,0.05249999836087227,water,41
63624.5,G10,0.05299999937415123,water,41
63624.5,G11,0.05130000039935112,water,41
63624.5,G12,0.05180000141263008,water,41
63624.5,H1,0.05339999869465828,water,41
63624.5,H2,0.052299998700618744,water,41
64603.4,A1,0.10029999911785126,fRS585,41
64603.4,A2,0.09399999678134918,fRS585,41
64603.4,A3,0.08900000154972076,fRS585,41
64603.4,A4,0.09139999747276306,fRS585,41
64603.4,A5,0.08810000121593475,fRS585,41
64603.4,A6,0.08659999817609787,fRS585,41
64603.4,A7,0.08760000020265579,fRS585,41
64603.4,A8,0.08950000256299973,fRS585,41
64603.4,A9,0.09009999781847,fRS585,41
64603.4,A10,0.09830000251531601,fRS585,41
64603.4,A11,0.09709999710321426,fRS585,41
64603.4,A12,0.11980000138282776,fRS585,41
64603.4,B1,0.06750000268220901,blank,41
64603.4,B2,0.06970000267028809,blank,41
64603.4,B3,0.0714000016450882,blank,41
64603.4,B4,0.06989999860525131,blank,41
64603.4,B5,0.07129999995231628,blank,41
64603.4,B6,0.07129999995231628,blank,41
64603.4,B7,0.06830000132322311,blank,41
64603.4,B8,0.06889999657869339,blank,41
64603.4,B9,0.06889999657869339,blank,41
64603.4,B10,0.06610000133514404,blank,41
64603.4,B11,0.07100000232458115,blank,41
64603.4,B12,0.07020000368356705,blank,41
64603.4,C1,0.053199999034404755,water,41
64603.4,C2,0.051100000739097595,water,41
64603.4,C3,0.052299998700618744,water,41
64603.4,C4,0.05119999870657921,water,41
64603.4,C5,0.05260000005364418,water,41
64603.4,C6,0.05220000073313713,water,41
64603.4,C7,0.051100000739097595,water,41
64603.4,C8,0.053700000047683716,water,41
64603.4,C9,0.05260000005364418,water,41
64603.4,C10,0.052299998700618744,water,41
64603.4,C11,0.05000000074505806,water,41
64603.4,C12,0.05180000141263008,water,41
64603.4,D1,0.052299998700618744,water,41
64603.4,D2,0.05169999971985817,water,41
64603.4,D3,0.050599999725818634,water,41
64603.4,D4,0.050700001418590546,water,41
64603.4,D5,0.050599999725818634,water,41
64603.4,D6,0.050999999046325684,water,41
64603.4,D7,0.051600001752376556,water,41
64603.4,D8,0.05209999904036522,water,41
64603.4,D9,0.05260000005364418,water,41
64603.4,D10,0.051600001752376556,water,41
64603.4,D11,0.050700001418590546,water,41
64603.4,D12,0.050599999725818634,water,41
64603.4,E1,0.05270000174641609,water,41
64603.4,E2,0.050700001418590546,water,41
64603.4,E3,0.05169999971985817,water,41
64603.4,E4,0.05139999836683273,water,41
64603.4,E5,0.050999999046325684,water,41
64603.4,E6,0.050700001418590546,water,41
64603.4,E7,0.05169999971985817,water,41
64603.4,E8,0.051100000739097595,water,41
64603.4,E9,0.05090000107884407,water,41
64603.4,E10,0.050700001418590546,water,41
64603.4,E11,0.05119999870657921,water,41
64603.4,E12,0.05090000107884407,water,41
64603.4,F1,0.05310000106692314,water,41
64603.4,F2,0.051500000059604645,water,41
64603.4,F3,0.051899999380111694,water,41
64603.4,F4,0.05249999836087227,water,41
64603.4,F5,0.052000001072883606,water,41
64603.4,F6,0.05079999938607216,water,41
64603.4,F7,0.05040000006556511,water,41
64603.4,F8,0.05249999836087227,water,41
64603.4,F9,0.050599999725818634,water,41
64603.4,F10,0.05169999971985817,water,41
64603.4,F11,0.05169999971985817,water,41
64603.4,F12,0.05130000039935112,water,41
64603.4,G1,0.05260000005364418,water,41
64603.4,G2,0.051100000739097595,water,41
64603.4,G3,0.05209999904036522,water,41
64603.4,G4,0.051600001752376556,water,41
