well,block,test_temperature,strain,evolution_history,mu,best_model,se,R2,n_obs
d7,1,25,35_B6,35 evolved,3.720733632595855,lagsat,0.13258615853530129,0.9011704438855165,97
d10,1,25,40_B8,40 evolved,6.437964347378345,lagsat,0.1044061123457066,0.99490234913161,60
e2,1,25,35_B8,35 evolved,6.766037558317078,lagsat,0.11297319109005975,0.9946009867366127,59
e3,1,25,35_F4,35 evolved,6.678683406453822,lagsat,0.11136871809098109,0.9947353097193085,60
e5,1,25,40_D4,40 evolved,6.597713296246015,lagsat,0.10203881045561651,0.9953571329329893,61
e7,1,25,35_F4,35 evolved,3.769620238181413,lagsat,0.1313098898230755,0.9045995583731526,97
e8,1,25,35_B8,35 evolved,6.742676399529209,lagsat,0.11123888880132306,0.9947226894256105,59
e9,1,25,40_D2,40 evolved,6.388925969912976,lagsat,0.09841290826333193,0.9953021888648801,61
f2,1,25,35_G5,35 evolved,6.63627916550545,lagsat,0.10710930628482464,0.9947049342568839,59
f3,1,25,40_D4,40 evolved,6.573717412811424,lagsat,0.10196296286058106,0.9953399926135394,60
f4,1,25,35_D4,35 evolved,6.597222186977623,lagsat,0.10573005155763839,0.9948107643517663,59
f5,1,25,35_B6,35 evolved,6.599679429086025,lagsat,0.10798297506194676,0.9946342612980438,59
f6,1,25,40_B8,40 evolved,6.461783609122739,lagsat,0.10438078421266526,0.9949582189809915,60
f7,1,25,40_C7,40 evolved,6.473150753910335,lagsat,0.09616439094437534,0.9955699061550725,61
f10,1,25,40_F2,40 evolved,NA,lagsat,NA,NA,NA
g2,1,25,35_G11,35 evolved,6.7622577699978494,lagsat,0.11840728111564726,0.9944985818777272,58
g4,1,25,35_B6,35 evolved,6.737358518370678,lagsat,0.1141322759507958,0.9945285255511319,59
g6,1,25,40_D2,40 evolved,6.458379805000872,lagsat,0.0970613890372172,0.9955131011344343,60
g7,1,25,40_G9,40 evolved,6.538322925890345,lagsat,0.10091012135739898,0.9948688671419093,60
g8,1,25,35_G11,35 evolved,6.809762085923568,lagsat,0.11194123314784452,0.9947139531917092,59
g9,1,25,35_D4,35 evolved,6.7576342923150206,lagsat,0.11097243833162666,0.9947574314147147,59
g10,1,25,40_G9,40 evolved,6.5062025920753985,lagsat,0.09938658175495269,0.9949526820335016,60
b5,1,38,40_D2,40 evolved,NA,lagsat,NA,NA,NA
b8,1,38,40_G9,40 evolved,NA,lagsat,NA,NA,NA
b11,1,38,35_G11,35 evolved,NA,lagsat,NA,NA,NA
